id_desa,prediksi,status_prediksi
1111110022,0,Tertinggal
1111110023,0,Tertinggal
1111110024,0,Tertinggal
1111110025,0,Tertinggal
1111110026,0,Tertinggal
1111110027,0,Tertinggal
1111110028,1,Maju
1111110030,0,Tertinggal
1111110031,0,Tertinggal
1111110032,0,Tertinggal
1111110033,0,Tertinggal
1111110034,0,Tertinggal
1111110035,1,Maju
1111110036,0,Tertinggal
1111110037,0,Tertinggal
1111110038,1,Maju
1111110039,1,Maju
1111110040,1,Maju
1111110041,1,Maju
1111110042,1,Maju
1111110043,1,Maju
1111110044,0,Tertinggal
1111110045,1,Maju
1111110046,1,Maju
1111110047,0,Tertinggal
1111110048,1,Maju
1111110049,1,Maju
1111110050,1,Maju
1111110051,1,Maju
1111110052,1,Maju
1111110053,0,Tertinggal
1111110054,0,Tertinggal
1111110055,0,Tertinggal
1111110056,1,Maju
1111110057,0,Tertinggal
1111110058,0,Tertinggal
1111110059,0,Tertinggal
1111110060,1,Maju
1111110061,0,Tertinggal
1111110062,0,Tertinggal
1111110063,0,Tertinggal
1111110064,0,Tertinggal
1111110065,0,Tertinggal
1111110066,0,Tertinggal
1111110067,1,Maju
1111110068,0,Tertinggal
1111110069,1,Maju
1111110070,0,Tertinggal
1111110071,0,Tertinggal
1111110072,1,Maju
1111110073,0,Tertinggal
1111110074,0,Tertinggal
1111110075,0,Tertinggal
1111110076,0,Tertinggal
1111120001,0,Tertinggal
1111120002,0,Tertinggal
1111120003,0,Tertinggal
1111120004,0,Tertinggal
1111120008,0,Tertinggal
1111120009,0,Tertinggal
1111120010,0,Tertinggal
1111120011,0,Tertinggal
1111120012,0,Tertinggal
1111120015,0,Tertinggal
1111120016,0,Tertinggal
1111120017,0,Tertinggal
1111120018,0,Tertinggal
1111120019,0,Tertinggal
1111120020,0,Tertinggal
1111120023,0,Tertinggal
1111120024,0,Tertinggal
1111120025,0,Tertinggal
1111120026,0,Tertinggal
1111120030,1,Maju
1111120031,0,Tertinggal
1111120032,0,Tertinggal
1111120033,0,Tertinggal
1111120034,0,Tertinggal
1111120035,0,Tertinggal
1111120036,0,Tertinggal
1111120044,1,Maju
1111120045,1,Maju
1111120046,1,Maju
1111120047,1,Maju
1111120048,1,Maju
1111120049,1,Maju
1111120050,1,Maju
1111120054,0,Tertinggal
1111120055,0,Tertinggal
1111120056,1,Maju
1111120057,0,Tertinggal
1111120058,0,Tertinggal
1111120059,1,Maju
1111120060,1,Maju
1111120061,0,Tertinggal
1111120062,0,Tertinggal
1111120063,0,Tertinggal
1111120064,1,Maju
1111120065,0,Tertinggal
1111120066,1,Maju
1111120067,0,Tertinggal
1111120068,0,Tertinggal
1111120069,0,Tertinggal
1111120070,0,Tertinggal
1111120071,0,Tertinggal
1111120072,1,Maju
1111120073,1,Maju
1111120074,1,Maju
1111120075,0,Tertinggal
1111120076,0,Tertinggal
1111120077,0,Tertinggal
1111121001,0,Tertinggal
1111121002,0,Tertinggal
1111121003,0,Tertinggal
1111121004,0,Tertinggal
1111121005,0,Tertinggal
1111121006,0,Tertinggal
1111121007,0,Tertinggal
1111121008,0,Tertinggal
1111121009,0,Tertinggal
1111121010,0,Tertinggal
1111121011,0,Tertinggal
1111121012,0,Tertinggal
1111121013,0,Tertinggal
1111121014,0,Tertinggal
1111121015,1,Maju
1111121016,1,Maju
1111121017,0,Tertinggal
1111121018,1,Maju
1111121019,1,Maju
1111121020,0,Tertinggal
1111130001,0,Tertinggal
1111130002,0,Tertinggal
1111130003,1,Maju
1111130004,0,Tertinggal
1111130005,0,Tertinggal
1111130006,0,Tertinggal
1111130007,0,Tertinggal
1111130008,1,Maju
1111130009,1,Maju
1111130010,0,Tertinggal
1111130011,0,Tertinggal
1111130012,1,Maju
1111130013,1,Maju
1111130014,0,Tertinggal
1111130015,0,Tertinggal
1111130016,0,Tertinggal
1111130017,1,Maju
1111130018,1,Maju
1111130019,1,Maju
1111130020,0,Tertinggal
1111130021,0,Tertinggal
1111130022,0,Tertinggal
1111130023,1,Maju
1111130024,0,Tertinggal
1111130025,0,Tertinggal
1111130026,0,Tertinggal
1111130027,1,Maju
1111130028,1,Maju
1111130029,1,Maju
1111130030,1,Maju
1111130031,0,Tertinggal
1111130032,0,Tertinggal
1111130033,0,Tertinggal
1111130034,1,Maju
1111130035,0,Tertinggal
1111130036,0,Tertinggal
1111130037,0,Tertinggal
1111130038,0,Tertinggal
1111130039,0,Tertinggal
1111130040,0,Tertinggal
1111140001,1,Maju
1111140002,0,Tertinggal
1111140003,1,Maju
1111140004,1,Maju
1111140005,0,Tertinggal
1111140006,0,Tertinggal
1111140007,1,Maju
1111140008,1,Maju
1111140009,1,Maju
1111140010,1,Maju
1111140011,1,Maju
1111140012,1,Maju
1111140013,1,Maju
1111140014,1,Maju
1111140015,0,Tertinggal
1111140016,1,Maju
